name,department,college,affiliation
Wenqiao Yuan,Biological and Agricultural Engineering,College of Agriculture and Life Sciences,Biological and Agricultural Engineering; Biological and Agricultural Engineering; Coastal Resilience and Sustainability Initiative
Wei Shi,Crop and Soil Sciences,College of Agriculture and Life Sciences,Crop and Soil Sciences; Center for Turfgrass Environmental Research and Education; Center for Integrated Fungal Research
Shuijin Hu,Entomology and Plant Pathology,College of Agriculture and Life Sciences,Entomology and Plant Pathology; Genetic Engineering and Society; Center for Integrated Fungal Research; KIETS Climate Leaders Program; Genetic Engineering and Society Center
Gregory Parsons,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering; Materials Science and Engineering; Center for Dielectrics and Piezoelectrics
Saad Khan,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering; Global One Health Academy
Fanxing Li,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering; Energy Collaborative; KIETS Climate Leaders Program
Gregory Parsons,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering; Materials Science and Engineering; Center for Dielectrics and Piezoelectrics
Saad Khan,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering; Global One Health Academy
Elena Jakubikova,Chemistry,College of Sciences,Chemistry
Daryoosh Vashaee,Electrical and Computer Engineering,College of Engineering,Electrical and Computer Engineering; Advanced Self Powered Systems of Sensors and Technologies Center
Ronalds Gonzalez,Forest Biomaterials,College of Natural Resources,Forest Biomaterials; Forest Biomaterials; Forest Biomaterials; KIETS Climate Leaders Program
Lokendra Pal,Forest Biomaterials,College of Natural Resources,Forest Biomaterials; Forest Biomaterials; Center for Additive Manufacturing and Logistics; Global One Health Academy
Martin Hubbe,Forest Biomaterials,College of Natural Resources,Forest Biomaterials
Wei-Chen Chang,Chemistry,College of Sciences,Chemistry; Chemistry; Comparative Medicine Institute; Chemistry
Ruozhou Yu,Computer Science,College of Engineering,Computer Science
John Baugh,"Civil, Construction and Environmental Engineering",College of Engineering,"Computer Science; Civil, Construction and Environmental Engineering; Operations Research"
James Bonner,Biological Sciences,College of Sciences,Comparative Medicine Institute; Biological Sciences; Biological Sciences; Toxicology Programs; Biological Sciences; Center for Human Health and the Environment 
Saad Khan,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering; Global One Health Academy
Fanxing Li,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering; Energy Collaborative; KIETS Climate Leaders Program
Gregory Parsons,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering; Materials Science and Engineering; Center for Dielectrics and Piezoelectrics
Joe Sagues,Biological and Agricultural Engineering,College of Agriculture and Life Sciences,Biological and Agricultural Engineering; KIETS Climate Leaders Program; N.C. Plant Sciences Initiative
Fanxing Li,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering; Energy Collaborative; KIETS Climate Leaders Program
Gregory Parsons,Chemical and Biomolecular Engineering,College of Engineering,Chemical and Biomolecular Engineering; Materials Science and Engineering; Center for Dielectrics and Piezoelectrics
